party,id
green,E14000598
lib,E14000530
lib,E14000547
lib,E14000554
lib,E14000621
lib,E14000623
lib,E14000627
lib,E14000628
lib,E14000630
lib,E14000635
lib,E14000644
lib,E14000680
lib,E14000684
lib,E14000685
lib,E14000704
lib,E14000719
lib,E14000730
lib,E14000738
lib,E14000743
lib,E14000753
lib,E14000762
lib,E14000770
lib,E14000786
lib,E14000799
lib,E14000803
lib,E14000804
lib,E14000815
lib,E14000817
lib,E14000827
lib,E14000830
lib,E14000835
lib,E14000837
lib,E14000838
lib,E14000839
lib,E14000847
lib,E14000848
lib,E14000850
lib,E14000860
lib,E14000874
lib,E14000881
lib,E14000884
lib,E14000896
lib,E14000901
lib,E14000912
lib,E14000928
lib,E14000931
lib,E14000932
lib,E14000934
lib,E14000937
lib,E14000938
lib,E14000953
lib,E14000958
lib,E14000960
lib,E14000961
lib,E14000964
lib,E14000977
lib,E14000984
lib,E14000988
lib,E14000990
lib,E14000991
lib,E14000994
lib,E14000996
lib,E14000999
lib,E14001000
lib,E14001001
lib,E14001005
lib,E14001026
lib,E14001031
lib,E14001035
lib,E14001037
lib,E14001038
lib,E14001041
lib,E14001047
lib,E14001060
lib,E14001062
pc,W07000067
q,E14000811
snp,S14000005
snp,S14000008
snp,S14000009
snp,S14000013
snp,S14000014
snp,S14000018
snp,S14000026
snp,S14000049
snp,S14000037
snp,S14000039
snp,S14000051
snp,S14000055
snp,S14000058
ukip,E14000622
ukip,E14000898
